Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,98.910004,102.160004,98.900002,101.239998,97.806519,1297965
2021-04-27,100.720001,100.980003,99.160004,99.790001,96.405701,933554
2021-04-28,99.669998,100.500000,98.800003,99.300003,95.932320,1394580
2021-04-29,100.339996,102.760002,99.519997,100.000000,96.608574,1725985
2021-04-30,101.040001,101.580002,99.309998,99.940002,96.550621,1707401
2021-05-03,100.160004,100.900002,98.830002,99.910004,96.521637,1004726
2021-05-04,99.900002,101.059998,96.430000,96.730003,93.449478,2254082
2021-05-05,97.580002,98.150002,95.879997,96.570000,93.294907,2282437
2021-05-06,97.099998,99.000000,95.830002,96.750000,93.468803,1838181
2021-05-07,97.830002,98.500000,97.010002,98.370003,95.033859,1139121
2021-05-10,99.000000,99.599998,97.500000,98.360001,95.024200,1031069
2021-05-11,96.400002,97.339996,94.650002,95.900002,92.647636,2063036
2021-05-12,95.720001,97.300003,95.190002,96.559998,93.285248,1448836
2021-05-13,95.070000,97.089996,93.180000,96.000000,92.744232,1211617
2021-05-14,97.000000,99.570000,96.110001,99.570000,96.193161,1525622
2021-05-17,99.599998,99.900002,96.650002,96.900002,93.613716,1087269
2021-05-18,97.680000,98.070000,96.809998,97.139999,93.845573,1469378
2021-05-19,95.800003,96.349998,93.559998,95.059998,91.836113,1947475
2021-05-20,96.029999,96.510002,94.870003,96.510002,93.236938,1291926
2021-05-21,96.699997,97.980003,96.580002,97.910004,94.589470,1454579
2021-05-24,98.209999,98.660004,97.730003,98.260002,94.927589,661841
2021-05-25,98.599998,98.919998,97.139999,97.139999,93.845573,1314019
2021-05-26,97.949997,98.290001,97.589996,97.669998,94.357597,995643
2021-05-27,101.000000,107.820000,100.540001,106.680000,103.062035,5430363
2021-05-28,107.919998,109.699997,107.680000,108.000000,104.337273,2237227
2021-05-31,107.919998,108.419998,106.580002,106.660004,103.042717,916534
2021-06-01,106.860001,109.360001,105.860001,108.760002,105.071495,1489206
2021-06-02,109.720001,110.959999,109.239998,110.699997,106.945694,1660110
2021-06-03,110.660004,110.800003,109.720001,109.779999,106.056900,1084375
2021-06-04,109.800003,110.339996,109.279999,109.919998,106.192154,1244330
2021-06-07,110.099998,112.000000,108.839996,111.320000,107.544670,1094346
2021-06-08,111.720001,112.379997,110.459999,110.500000,106.752480,1171363
2021-06-09,110.720001,111.279999,110.199997,110.599998,106.849091,1035299
2021-06-10,111.000000,111.379997,109.580002,110.519997,106.771797,1046648
2021-06-11,110.720001,113.220001,110.620003,112.360001,108.549400,1806452
2021-06-14,112.860001,113.300003,112.080002,112.400002,108.588043,1015695
2021-06-15,113.800003,114.180000,112.400002,113.180000,109.341591,1405518
2021-06-16,114.000000,114.860001,112.800003,114.080002,110.211075,1660779
2021-06-17,113.980003,116.040001,113.599998,114.599998,110.713432,1441039
2021-06-18,114.500000,115.059998,112.199997,112.720001,108.897194,2224730
2021-06-21,111.500000,113.099998,109.680000,112.919998,109.090408,1176178
2021-06-22,113.339996,114.440002,112.620003,112.639999,108.819901,1121429
2021-06-23,112.500000,113.160004,111.220001,111.300003,107.525352,1089417
2021-06-24,111.760002,112.639999,111.559998,111.919998,108.124321,1232312
2021-06-25,112.199997,112.360001,109.500000,110.320000,106.578590,1443544
2021-06-28,110.599998,111.720001,107.099998,107.099998,103.467789,1510341
2021-06-29,107.500000,108.339996,106.480003,106.480003,102.868820,1505310
2021-06-30,106.379997,109.120003,104.900002,108.440002,104.762344,1986579
2021-07-01,109.800003,110.540001,108.379997,109.900002,106.172829,1245443
2021-07-02,110.559998,112.400002,109.400002,112.220001,108.414154,1648830
2021-07-05,111.940002,113.800003,110.959999,113.080002,109.244987,919942
2021-07-06,113.199997,113.440002,110.260002,110.879997,107.119591,1090015
2021-07-07,111.779999,112.480003,108.959999,109.820000,106.095535,1549039
2021-07-08,109.419998,110.440002,107.220001,109.019997,105.322670,2112437
2021-07-09,110.279999,114.019997,110.279999,112.760002,108.935837,1837644
2021-07-12,112.519997,113.760002,110.040001,112.199997,108.394829,1521422
2021-07-13,112.300003,112.620003,110.779999,111.239998,107.467384,1387125
2021-07-14,110.660004,111.980003,109.900002,110.980003,107.216209,1057178
2021-07-15,112.000000,112.279999,109.519997,110.400002,106.655876,1673725
2021-07-16,111.080002,112.180000,109.919998,110.639999,106.887733,1556374
2021-07-19,108.500000,108.739998,103.120003,103.580002,100.067169,3974206
2021-07-20,104.000000,106.419998,103.559998,106.000000,102.405090,1915970
2021-07-21,107.000000,111.220001,107.000000,110.639999,106.887733,2105827
2021-07-22,111.360001,113.360001,109.500000,109.519997,105.805717,1324149
2021-07-23,111.360001,113.879997,110.900002,111.500000,107.718559,2048605
2021-07-26,111.120003,113.279999,110.919998,112.000000,108.201614,1176450
2021-07-27,112.099998,113.059998,110.860001,112.320000,108.510757,1244190
2021-07-28,111.099998,115.339996,111.099998,115.300003,111.389694,1651513
2021-07-29,120.000000,121.000000,115.639999,116.000000,112.065956,2705991
2021-07-30,116.019997,116.419998,113.160004,115.699997,111.776123,2047519
2021-08-02,116.800003,117.900002,115.739998,116.779999,112.819496,1114904
2021-08-03,116.800003,117.220001,114.220001,114.779999,110.887329,1446369
2021-08-04,116.239998,116.400002,113.379997,114.440002,110.558868,1536356
2021-08-05,114.180000,117.360001,114.099998,116.639999,112.684250,1227423
2021-08-06,116.500000,117.279999,115.599998,116.900002,112.935432,1045415
2021-08-09,116.580002,117.019997,114.699997,114.760002,110.868011,753338
2021-08-10,114.800003,115.339996,113.720001,115.160004,111.254448,916010
2021-08-11,115.699997,116.680000,115.099998,115.720001,111.795448,712806
2021-08-12,115.279999,115.980003,114.559998,115.300003,111.389694,817945
2021-08-13,114.959999,116.339996,114.959999,115.440002,111.524948,681571
2021-08-16,114.419998,114.900002,113.660004,114.620003,110.732758,611241
2021-08-17,113.940002,113.959999,112.599998,113.540001,109.689377,924576
2021-08-18,113.820000,113.820000,112.220001,113.620003,109.766670,904719
2021-08-19,111.400002,111.900002,109.820000,110.040001,106.308075,1616551
2021-08-20,109.639999,110.519997,108.199997,110.480003,106.733154,989618
2021-08-23,112.000000,112.540001,111.180000,111.720001,107.931107,795534
2021-08-24,111.680000,113.459999,111.400002,113.459999,109.612091,847802
2021-08-25,114.300003,116.680000,114.279999,115.919998,111.988670,1279245
2021-08-26,114.800003,115.580002,113.540001,115.000000,111.099861,686226
2021-08-27,114.940002,115.019997,113.459999,115.019997,111.119186,669090
2021-08-30,115.220001,115.559998,114.540001,114.860001,110.964615,505387
2021-08-31,114.480003,115.699997,113.680000,115.699997,111.776123,1518227
2021-09-01,116.500000,118.099998,116.019997,118.000000,113.998123,1478587
2021-09-02,117.519997,117.900002,116.400002,116.779999,112.819496,938576
2021-09-03,116.800003,116.900002,114.480003,114.480003,110.597496,896433
2021-09-06,114.720001,116.559998,114.680000,115.879997,111.950020,641283
2021-09-07,115.820000,115.820000,113.860001,114.099998,110.230385,892841
2021-09-08,113.959999,115.279999,112.480003,113.720001,109.863274,1134101
2021-09-09,112.660004,115.779999,112.459999,115.199997,111.293091,1168922
2021-09-10,115.599998,116.699997,114.180000,114.360001,110.481575,1161466
2021-09-13,114.620003,115.419998,113.680000,115.080002,111.177155,1047597
2021-09-14,114.639999,114.839996,112.160004,112.760002,108.935837,1132942
2021-09-15,112.800003,114.059998,112.139999,112.360001,108.549400,1054477
2021-09-16,113.139999,115.779999,113.080002,114.879997,110.983932,1445194
2021-09-17,115.220001,116.139999,111.860001,113.040001,109.206337,3390435
2021-09-20,110.800003,113.919998,108.720001,111.940002,108.143646,2416938
2021-09-21,112.160004,113.519997,111.760002,113.279999,109.438202,1539371
2021-09-22,113.879997,115.839996,113.879997,115.839996,111.911377,1225883
2021-09-23,117.000000,118.000000,116.139999,116.680000,112.722893,1211204
2021-09-24,115.959999,116.980003,115.019997,115.400002,111.486305,974686
2021-09-27,116.500000,118.879997,116.339996,117.239998,113.263901,1577958
2021-09-28,116.800003,117.300003,113.099998,113.360001,109.515488,1789397
2021-09-29,115.199997,117.300003,114.559998,117.300003,113.321869,1856224
2021-09-30,118.160004,118.339996,114.860001,115.099998,111.196480,1891572
2021-10-01,113.019997,116.699997,111.879997,116.580002,112.626289,1638193
2021-10-04,116.559998,116.959999,113.120003,113.660004,109.805321,1545522
2021-10-05,114.360001,115.540001,113.620003,115.080002,111.177155,1344477
2021-10-06,114.000000,114.080002,111.120003,113.419998,109.573448,1592220
2021-10-07,115.059998,115.300003,113.680000,114.199997,110.326996,1465696
2021-10-08,114.160004,114.480003,112.620003,113.220001,109.380241,1301126
2021-10-11,112.839996,114.260002,112.699997,113.820000,109.959885,785366
2021-10-12,111.500000,113.559998,111.260002,113.239998,109.399551,1212402
2021-10-13,113.099998,113.180000,111.279999,112.339996,108.530075,1246440
2021-10-14,113.000000,114.220001,112.000000,113.360001,109.515488,1286858
2021-10-15,113.519997,115.400002,113.320000,114.900002,111.003258,1541664
2021-10-18,114.260002,114.339996,112.699997,113.300003,109.457527,893006
2021-10-19,113.480003,113.599998,112.180000,112.320000,108.510757,954227
